      y1       y2        y3        y4        y5       y6       y7        y8       x1       x2       x3
1   2.50 0.000000  3.333333  0.000000  1.250000 0.000000 3.726360  3.333333 4.442651 3.637586 2.557615
2   1.25 0.000000  3.333333  0.000000  6.250000 1.100000 6.666666  0.736999 5.384495 5.062595 3.568079
3   7.50 8.800000  9.999998  9.199991  8.750000 8.094061 9.999998  8.211809 5.961005 6.255750 5.224433
4   8.90 8.800000  9.999998  9.199991  8.907948 8.127979 9.999998  4.615086 6.285998 7.567863 6.267495
5  10.00 3.333333  9.999998  6.666666  7.500000 3.333333 9.999998  6.666666 5.863631 6.818924 4.573679
6   7.50 3.333333  6.666666  6.666666  6.250000 1.100000 6.666666  0.368500 5.533389 5.135798 3.892270
7   7.50 3.333333  6.666666  6.666666  5.000000 2.233333 8.271257  1.485166 5.308268 5.075174 3.316213
8   7.50 2.233333  9.999998  1.496333  6.250000 3.333333 9.999998  6.666666 5.347108 4.852030 4.263183
9   2.50 3.333333  3.333333  3.333333  6.250000 3.333333 3.333333  3.333333 5.521461 5.241747 4.115168
10 10.00 6.666666  9.999998  8.899991  8.750000 6.666666 9.999998 10.000000 5.828946 5.370638 4.446216
11  7.50 3.333333  9.999998  6.666666  8.750000 3.333333 9.999998  6.666666 5.916202 6.423247 3.791545
12  7.50 3.333333  6.666666  6.666666  8.750000 3.333333 6.666666  6.666666 5.398163 6.246107 4.535708
13  7.50 3.333333  9.999998  6.666666  7.500000 3.333333 6.666666 10.000000 6.622736 7.872074 4.906154
14  7.50 7.766664  9.999998  6.666666  7.500000 0.000000 9.999998  0.000000 5.204007 5.225747 4.561047
15  7.50 9.999998  3.333333 10.000000  7.500000 6.666666 9.999998 10.000000 5.509388 6.202536 4.586286
16  7.50 9.999998  9.999998  7.766666  7.500000 1.100000 6.666666  6.666666 5.262690 5.820083 3.948911
17  2.50 3.333333  6.666666  6.666666  5.000000 1.100000 6.666666  0.368500 4.700480 5.023881 4.394491
18  1.25 0.000000  3.333333  3.333333  1.250000 3.333333 3.333333  3.333333 5.209486 4.465908 4.510268
19 10.00 9.999998  9.999998 10.000000  8.750000 9.999998 9.999998 10.000000 5.916202 6.732211 5.829084
20  7.50 3.333299  3.333333  6.666666  7.500000 2.233299 6.666666  2.948164 6.523562 6.992096 6.424591
21 10.00 9.999998  9.999998 10.000000 10.000000 9.999998 9.999998 10.000000 6.238325 6.746412 5.741711
22  1.25 0.000000  0.000000  0.000000  2.500000 0.000000 0.000000  0.000000 5.976351 6.712956 5.948168
23  2.50 0.000000  3.333333  3.333333  2.500000 0.000000 3.333333  3.333333 5.631212 5.937536 5.686755
24  7.50 6.666666  9.999998 10.000000  7.500000 6.666666 9.999998  7.766666 6.033086 6.093570 4.611429
25  8.50 9.999998  6.666666  6.666666  8.750000 9.999998 7.351018  6.666666 6.196444 6.704414 5.475261
26  6.10 0.000000  5.400000  3.333333  0.000000 0.000000 4.696028  3.333333 4.248495 2.708050 1.740830
27  3.30 0.000000  6.666666  3.333333  6.250000 0.000000 6.666666  3.333333 5.141664 4.564348 2.255134
28  2.90 3.333333  6.666666  3.333333  2.385559 0.000000 3.177568  1.116666 4.174387 3.688879 3.046927
29  9.20 0.000000  9.900000  3.333333  7.609660 0.000000 8.118828  3.333333 4.382027 2.890372 1.711279
30  6.90 0.000000  6.666666  3.333333  4.226033 0.000000 0.000000  0.000000 4.290459 1.609438 1.001674
31  2.90 0.000000  3.333333  3.333333  5.000000 0.000000 3.333333  3.333333 4.934474 4.234107 1.418971
32  2.00 0.000000  0.000000  0.000000  0.000000 0.000000 0.000000  0.000000 3.850148 1.945910 2.345229
33  5.00 0.000000  3.333333  3.333333  5.000000 0.000000 3.333333  3.333333 5.181784 4.394449 3.167167
34  5.00 0.000000  9.999998  3.333333  0.000000 0.000000 3.333333  0.744370 5.062595 4.595120 3.834970
35  4.10 9.999998  4.700000  6.666666  3.750000 0.000000 7.827667  6.666666 4.691348 4.143135 2.255134
36  6.30 9.999998  9.999998  6.666666  6.250000 2.233333 6.666666  2.955702 4.248495 3.367296 3.217506
37  5.20 4.999998  6.600000  3.333333  3.633403 1.100000 3.314128  3.333333 5.564520 5.236442 2.677633
38  5.00 3.333333  6.400000  6.666666  2.844997 0.000000 4.429657  1.485166 4.727388 3.610918 1.418971
39  3.10 4.999998  4.200000  5.000000  3.750000 0.000000 6.164304  3.333333 4.143135 2.302585 1.418971
40  4.10 9.999998  6.666666  3.333333  5.000000 0.000000 4.938089  2.233333 4.317488 4.955827 4.249888
41  5.00 9.999998  6.666666  1.666666  5.000000 0.000000 6.666666  0.368500 5.141664 4.430817 3.046927
